Timestamp,"Name (First, Last)",Do you plan to attend the group on a regular basis during the spring 2017 semester? ,How familiar are you with R?,How familiar are you with statistics?,"Will you be using your own laptop?  If NO, there are computers available in the lab","If you are using your own laptop, is the most recent version of R (v 3.3.1 or greater) already installed on your computer?","If you are using your own laptop, is the most recent version of RStudio (v 1.0 or greater) already installed on your computer?",What R skills are you most interested in learning? [Inputting data into R],"What R skills are you most interested in learning? [R data structures (arrays, matrices, data frames, lists)]",What R skills are you most interested in learning? [Data wrangling],What R skills are you most interested in learning? [Data manipulation and summarization],What R skills are you most interested in learning? [Graphing],What R skills are you most interested in learning? [Report generation],Anything else not included above that you are interested in learning?
1/9/2017 9:42:15,XXXX,No,,,,,,,,,,,,
1/9/2017 9:42:55,XXXX,Yes,7,7,Yes,Yes,Yes,Least interested,Least interested,Most interested,Most interested,Neutral,Most interested,Multivariate stats! 
1/9/2017 9:44:51,XXXX,Yes,4,4,Yes,Yes,Yes,Least interested,Neutral,Interested,Interested,Most interested,Most interested,
1/9/2017 9:46:20,XXXX,Yes,2,4,No,,,Neutral,Most interested,Most interested,Most interested,Most interested,Interested,
1/9/2017 9:46:47,XXXX,Maybe,3,7,Maybe,"No, but I will have it done prior to class","No, but I will have it done prior to the workshop",Least interested,Interested,Interested,Interested,Interested,Somewhat interested,
1/9/2017 9:53:11,XXXX,Maybe,2,7,No,"No, I need help installing",,Most interested,Most interested,Most interested,Most interested,Most interested,Most interested,All of it. I want to be a Jedi Master in R
1/9/2017 9:54:19,XXXX,Maybe,3,3,Yes,Yes,Yes,Least interested,Least interested,Least interested,Most interested,Neutral,Neutral,"Plan to attend as much as possible, but I am not actually registered for the class. I will use my own laptop to save space in the lab. "
1/9/2017 9:55:30,XXXX,Yes,2,1,Maybe,"No, but I will have it done prior to class","No, but I will have it done prior to the workshop",Interested,Interested,Interested,Interested,Interested,Interested,
1/9/2017 9:58:05,XXXX,Yes,4,2,Yes,Yes,Yes,Most interested,Most interested,Most interested,Most interested,Most interested,Most interested,"Machine learning, working with SQL databases, GIS integration, mapping, markdown, latex"
1/9/2017 10:04:55,XXXX,Yes,2,6,No,,,Neutral,Neutral,Interested,Interested,Interested,Neutral,
1/9/2017 10:20:39,XXXX,No,,,,,,,,,,,,
1/9/2017 10:22:05,XXXX,No,,,,,,,,,,,,
1/9/2017 10:26:41,XXXX,Yes,5,5,Yes,Yes,Yes,Neutral,Neutral,Interested,Most interested,Most interested,Interested,
1/9/2017 10:47:34,XXXX,Yes,8,4,Yes,Yes,Yes,Least interested,Least interested,Least interested,Least interested,Somewhat interested,Most interested,
1/9/2017 11:00:12,XXXX,No,,,,,,,,,,,,"If there's a syllabus, I'll stop by during relevant interesting classes!"
1/9/2017 11:01:50,XXXX,Yes,4,4,No,Yes,Yes,Interested,Interested,Most interested,Most interested,Most interested,Most interested,How to become an R jedi master 
1/9/2017 11:09:46,XXXX,Yes,3,3,Maybe,Yes,Yes,Least interested,Somewhat interested,Most interested,Most interested,Most interested,Most interested,
1/9/2017 11:35:20,XXXX,Yes,1,5,Maybe,"No, I need help installing",Yes,Most interested,Most interested,Most interested,Most interested,Most interested,Most interested,
1/9/2017 11:36:22,XXXX,Yes,3,3,Yes,Yes,Yes,Neutral,Interested,Interested,Most interested,Most interested,Most interested,
1/9/2017 11:38:32,XXXX,Yes,3,3,Maybe,Yes,Yes,Interested,Interested,Most interested,Most interested,Most interested,Most interested,
1/9/2017 11:55:06,XXXX,Yes,4,4,Maybe,Yes,Yes,Least interested,Interested,Most interested,Most interested,Most interested,Most interested,
1/9/2017 12:27:19,XXXX,No,,,,,,,,,,,,
1/9/2017 13:07:34,XXXX,Yes,6,3,No,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Interested,
1/9/2017 13:39:57,XXXX,Yes,1,1,Maybe,Yes,Yes,Most interested,Interested,Interested,Most interested,Most interested,Most interested,
1/9/2017 14:35:05,XXXX,Yes,5,3,Yes,"No, but I will have it done prior to class","No, but I will have it done prior to the workshop",Interested,Interested,Neutral,Most interested,Most interested,Neutral,
1/10/2017 9:48:46,XXXX,Maybe,2,5,Maybe,Yes,Yes,Neutral,Neutral,Interested,Most interested,Most interested,Interested,camtrapR : )
1/10/2017 10:07:21,XXXX,Maybe,6,6,Yes,Yes,Yes,Least interested,Somewhat interested,Somewhat interested,Neutral,Interested,Most interested,Thanks for continuing to run this class. I will likely be an infrequent visitor this semester but I would like to come in occasionally as long as that is okay. If report generation/Rmarkdown is covered I would definitely come for those days.
1/10/2017 14:28:32,XXXX,Maybe,3,4,No,,,Least interested,Neutral,Interested,Interested,Most interested,Most interested,
1/11/2017 10:45:02,XXXX,Maybe,3,5,Maybe,"No, but I will have it done prior to class","No, but I will have it done prior to the workshop",Interested,Interested,Interested,Most interested,Most interested,Interested,"I may try to attend if my schedule allows.  If the room gets too crowded and there isn't room, that is fine.  I really enjoy R class and it has helped my feeble skills.  "
1/12/2017 10:19:30,XXXX,Yes,4,4,No,,,Somewhat interested,Interested,Interested,Most interested,Most interested,Most interested,Handling spatial data so I can finally quit using ArcGIS. 
