ABUND,GRAZING1,GRAZING2,GRAZING3,GRAZING4,L10AREA
30.9,0,0,0,0,3.24821856119008
39.6,0,0,0,0,1.69019608002851
28.3,0,0,0,0,1.53147891704226
29,0,0,0,0,1.50514997831991
23.5,0,0,0,0,1.41497334797082
14.6,0,0,0,0,0.301029995663981
29.6,0,0,0,0,1.69897000433602
31,0,0,0,0,1.75587485567249
25.3,0,0,0,0,0.698970004336019
27.3,0,0,0,0,2.03342375548695
30.5,0,0,0,0,2.12710479836481
33,0,0,0,0,2.15836249209525
29.5,0,0,0,0,2.98811284026835
5.3,1,0,0,0,-1
16.6,1,0,0,0,1.11394335230684
26,1,0,0,0,1.25527250510331
28.3,1,0,0,0,1.60205999132796
34.4,1,0,0,0,1.98227123303957
24.4,1,0,0,0,0.602059991327962
19.4,1,0,0,0,0.602059991327962
21.2,1,0,0,0,0.301029995663981
24.3,0,1,0,0,0.602059991327962
30.4,0,1,0,0,1.17609125905568
24.9,0,1,0,0,1.46239799789896
27.6,0,1,0,0,0.301029995663981
32,0,1,0,0,1.64345267648619
37.7,0,1,0,0,1.68124123737559
6.8,0,1,0,0,1
14.1,0,1,0,0,0
29,0,1,0,0,0.477121254719662
16.3,0,1,0,0,0.845098040014257
20.9,0,1,0,0,0.778151250383644
19.5,0,1,0,0,0.778151250383644
2.9,0,1,0,0,0.477121254719662
15.8,0,1,0,0,0.698970004336019
17.1,0,1,0,0,0
3.3,0,0,1,0,0
25.7,0,0,1,0,1.27875360095283
18.8,0,0,1,0,0.845098040014257
19.9,0,0,1,0,0.903089986991944
21.7,0,0,1,0,1.04139268515823
27.8,0,0,1,0,1.07918124604762
26.8,0,0,1,0,1.07918124604762
1.8,0,0,0,1,0.301029995663981
2,0,0,0,1,-0.301029995663981
1.5,0,0,0,1,-0.301029995663981
5,0,0,0,1,0.602059991327962
13.8,0,0,0,1,0
12.7,0,0,0,1,1.34242268082221
3.8,0,0,0,1,0
2.2,0,0,0,1,0
13,0,0,0,1,0.954242509439325
11.5,0,0,0,1,1.23044892137827
3.5,0,0,0,1,0.301029995663981
3,0,0,0,1,0
8,0,0,0,1,0.301029995663981
