DENSITY,SEASON,EGGS,RESID1,PREDICT1
 8,spring,2.875, 0.45833333,2.4166667
 8,spring,2.625, 0.20833333,2.4166667
 8,spring,1.750,-0.66666667,2.4166667
 8,summer,2.125, 0.29166667,1.8333333
 8,summer,1.500,-0.33333333,1.8333333
 8,summer,1.875, 0.04166667,1.8333333
15,spring,2.600, 0.42266667,2.1773333
15,spring,1.866,-0.31133333,2.1773333
15,spring,2.066,-0.11133333,2.1773333
15,summer,0.867,-0.31066667,1.1776667
15,summer,0.933,-0.24466667,1.1776667
15,summer,1.733, 0.55533333,1.1776667
30,spring,2.230, 0.66466667,1.5653333
30,spring,1.466,-0.09933333,1.5653333
30,spring,1.000,-0.56533333,1.5653333
30,summer,1.267, 0.45566667,0.8113333
30,summer,0.467,-0.34433333,0.8113333
30,summer,0.700,-0.11133333,0.8113333
45,spring,1.400, 0.20033333,1.1996667
45,spring,1.022,-0.17766667,1.1996667
45,spring,1.177,-0.02266667,1.1996667
45,summer,0.711, 0.11833333,0.5926667
45,summer,0.356,-0.23666667,0.5926667
45,summer,0.711, 0.11833333,0.5926667
