LEAVES,BLOCK,TREAT,MITE,LMITE,RESID1,PREDICT1,RESID2,PREDICT2
a1, 1,1, 9, 4.5053499, 0.5438116, 0.10254340, 0.01901256,4.4863373
a2, 1,2, 1, 2.3513753,-0.5438116,-0.10254340,-0.01901256,2.3703879
b1, 2,1, 2, 3.0204249,-0.1986509,-0.63991910,-0.72344994,3.7438748
b2, 2,2, 1, 2.3513753, 0.1986509, 0.63991910, 0.72344994,1.6279254
c1, 3,1, 0,-0.6931472,-1.7209121,-2.83122995,-2.91476079,2.2216136
c2, 3,2, 2, 3.0204249, 1.7209121, 2.83122995, 2.91476079,0.1056641
d1, 4,1,12, 4.7916498, 1.3619249,-0.42927000,-0.51280084,5.3044506
d2, 4,2, 4, 3.7013020,-1.3619249, 0.42927000, 0.51280084,3.1885012
e1, 5,1,15, 5.0139631, 1.1326430, 0.02232520,-0.06120564,5.0751687
e2, 5,2, 2, 3.0204249,-1.1326430,-0.02232520, 0.06120564,2.9592193
f1, 6,1, 3, 3.4177267, 0.0000000,-0.44126820,-0.52479904,3.9425257
f2, 6,2, 1, 2.3513753, 0.0000000, 0.44126820, 0.52479904,1.8265763
g1, 7,1,11, 4.7050155,-0.8786168, 1.72463745, 1.64110661,3.0639089
g2, 7,2, 0,-0.6931472, 0.8786168,-1.72463745,-1.64110661,0.9479594
h1, 8,1, 6, 4.1026434,-1.1798029, 1.42345140, 1.33992056,2.7627228
h2, 8,2, 0,-0.6931472, 1.1798029,-1.42345140,-1.33992056,0.6467734
i1, 9,1, 7, 4.2556127, 0.4189430,-0.02232520,-0.10585604,4.3614687
i2, 9,2, 1, 2.3513753,-0.4189430, 0.02232520, 0.10585604,2.2455193
j1,10,1, 6, 4.1026434,-1.1798029, 1.42345140, 1.33992056,2.7627228
j2,10,2, 0,-0.6931472, 1.1798029,-1.42345140,-1.33992056,0.6467734
k1,11,1, 5, 3.9219733, 0.2521233,-0.18914490,-0.27267574,4.1946490
k2,11,2, 1, 2.3513753,-0.2521233, 0.18914490, 0.27267574,2.0786996
l1,12,1, 8, 4.3882572, 0.4852653, 0.04399705,-0.03953379,4.4277910
l2,12,2, 1, 2.3513753,-0.4852653,-0.04399705, 0.03953379,2.3118415
m1,13,1, 3, 3.4177267, 0.0000000,-0.44126820,-0.52479904,3.9425257
m2,13,2, 1, 2.3513753, 0.0000000, 0.44126820, 0.52479904,1.8265763
n1,14,1, 6, 4.1026434,-1.1798029, 1.42345140, 1.33992056,2.7627228
n2,14,2, 0,-0.6931472, 1.1798029,-1.42345140,-1.33992056,0.6467734
