TOAD,BRTH.TYP,O2LEVEL,FREQBUC,SFREQBUC
a,lung, 0,10.6,3.2557641
a,lung, 5,18.8,4.3358967
a,lung,10,17.4,4.1713307
a,lung,15,16.6,4.0743098
a,lung,20, 9.4,3.0659419
a,lung,30,11.4,3.3763886
a,lung,40, 2.8,1.6733201
a,lung,50, 4.4,2.0976177
b,buccal, 0,21.6,4.6475800
b,buccal, 5,17.4,4.1713307
b,buccal,10,22.4,4.7328638
b,buccal,15, 8.4,2.8982753
b,buccal,20, 3.0,1.7320508
b,buccal,30, 3.8,1.9493589
b,buccal,40, 6.4,2.5298221
b,buccal,50, 3.2,1.7888544
c,lung, 0, 0.0,0.0000000
c,lung, 5, 4.0,2.0000000
c,lung,10,18.0,4.2426407
c,lung,15,27.0,5.1961524
c,lung,20,31.0,5.5677644
c,lung,30,25.0,5.0000000
c,lung,40,49.0,7.0000000
c,lung,50,21.0,4.5825757
d,buccal, 0,38.0,6.1644140
d,buccal, 5,34.8,5.8991525
d,buccal,10,31.4,5.6035703
d,buccal,15,28.4,5.3291650
d,buccal,20,29.2,5.4037024
d,buccal,30,32.0,5.6568542
d,buccal,40,12.8,3.5777088
d,buccal,50,22.2,4.7116876
e,buccal, 0,30.0,5.4772256
e,buccal, 5,21.4,4.6260134
e,buccal,10, 9.6,3.0983867
e,buccal,15,17.4,4.1713307
e,buccal,20,18.0,4.2426407
e,buccal,30,14.4,3.7947332
e,buccal,40, 0.8,0.8944272
e,buccal,50, 3.0,1.7320508
f,buccal, 0,20.0,4.4721360
f,buccal, 5,22.4,4.7328638
f,buccal,10,14.4,3.7947332
f,buccal,15,17.2,4.1472883
f,buccal,20, 6.4,2.5298221
f,buccal,30, 2.8,1.6733201
f,buccal,40, 3.6,1.8973666
f,buccal,50, 4.0,2.0000000
g,buccal, 0,45.8,6.7675697
g,buccal, 5,37.4,6.1155539
g,buccal,10,38.0,6.1644140
g,buccal,15,32.6,5.7096410
g,buccal,20,23.6,4.8579831
g,buccal,30,39.0,6.2449980
g,buccal,40,14.4,3.7947332
g,buccal,50,11.0,3.3166248
h,lung, 0, 2.4,1.5491933
h,lung, 5, 6.6,2.5690465
h,lung,10, 8.4,2.8982753
h,lung,15, 4.2,2.0493902
h,lung,20,11.4,3.3763886
h,lung,30, 7.8,2.7928480
h,lung,40, 4.8,2.1908902
h,lung,50, 5.8,2.4083189
i,buccal, 0,12.6,3.5496479
i,buccal, 5, 9.8,3.1304952
i,buccal,10,13.4,3.6606010
i,buccal,15, 9.4,3.0659419
i,buccal,20, 8.6,2.9325757
i,buccal,30, 7.6,2.7568098
