ISLAND,PARATIO,UTA,PA,PREDICT
Bota,15.41,P,1,5.554403e-01
Cabeza, 5.63,P,1,9.145074e-01
Cerraja,25.92,P,1,1.105751e-01
Coronadito,15.17,A,0,5.684109e-01
Flecha,13.04,P,1,6.776580e-01
Gemelose,18.85,A,0,3.699098e-01
Gemelosw,30.95,A,0,3.957195e-02
Jorabado,22.87,A,0,1.954108e-01
Mitlan,12.01,A,0,7.249550e-01
Pata,11.60,P,1,7.425364e-01
Piojo, 6.09,P,1,9.062734e-01
Smith, 2.28,P,1,9.571181e-01
Ventana, 4.05,P,1,9.380141e-01
Bahiaan,59.94,A,0,7.089413e-05
Bahiaas,63.16,A,0,3.496145e-05
Blanca,22.76,A,0,1.992360e-01
Pescador,23.54,A,0,1.733123e-01
Angeldlg, 0.21,P,1,9.723466e-01
Mejia, 2.55,P,1,9.546180e-01
Peninsula,.,P,1,.
