SPECIES,MANINTAC,MANIMPAC,KANINTAC,MATIMPAC,SMANINTA,SMANIMPA,SKANINTA,SMATIMPA,RSMANINT,RSMANIMP,RSKANINT,RSMATIMP
E.WAHL      , 2, 0, 0, 0,-0.35260874,-0.3063218,-0.58347806,-0.6333910,0.012738854,0.00000000,0.00000000,0.00000000
P.NAN       , 1, 0, 0, 0,-0.39425545,-0.3063218,-0.58347806,-0.6333910,0.006369427,0.00000000,0.00000000,0.00000000
P.RUST      , 5, 1, 0, 5,-0.22766864,-0.2474137,-0.58347806, 0.0863715,0.031847134,0.01282051,0.00000000,0.07575758
P.RUE       , 0, 0, 3, 0,-0.43590215,-0.3063218, 0.04167700,-0.6333910,0.000000000,0.00000000,0.07142857,0.00000000
P.KUH       , 0, 0, 0, 1,-0.43590215,-0.3063218,-0.58347806,-0.4894385,0.000000000,0.00000000,0.00000000,0.01515152
E.CAP       ,16, 9,16,20, 0.23044508, 0.2238505, 2.75068230, 2.2456589,0.101910828,0.11538462,0.38095238,0.30303030
E.MELCK     , 0, 0, 1, 0,-0.43590215,-0.3063218,-0.37509304,-0.6333910,0.000000000,0.00000000,0.02380952,0.00000000
E.ZULU      , 1, 0, 0, 0,-0.39425545,-0.3063218,-0.58347806,-0.6333910,0.006369427,0.00000000,0.00000000,0.00000000
S.DING      , 2, 1, 0, 1,-0.35260874,-0.2474137,-0.58347806,-0.4894385,0.012738854,0.01282051,0.00000000,0.01515152
S.BORB      ,95,66,10, 4, 3.52053454, 3.5816086, 1.50037216,-0.0575810,0.605095541,0.84615385,0.23809524,0.06060606
S.OTHER     ,15, 0, 7,15, 0.18879838,-0.3063218, 0.87521709, 1.5258965,0.095541401,0.00000000,0.16666667,0.22727273
N.SCHLIEF   ,11, 1, 5, 3, 0.02221157,-0.2474137, 0.45844705,-0.2015335,0.070063694,0.01282051,0.11904762,0.04545455
T.NIGER     , 2, 0, 0, 0,-0.35260874,-0.3063218,-0.58347806,-0.6333910,0.012738854,0.00000000,0.00000000,0.00000000
T.PUMIL     , 7, 0, 0, 0,-0.14437523,-0.3063218,-0.58347806,-0.6333910,0.044585987,0.00000000,0.00000000,0.00000000
T.CONDY     , 0, 0, 0,17,-0.43590215,-0.3063218,-0.58347806, 1.8138014,0.000000000,0.00000000,0.00000000,0.25757576
