SPECIES.,SLA,N,AMASS,AAREA,GS,LSLA,CN,STSLA,STN,STAMASS,STAAREA,STGS
C.THALIC,425.0,58.2,254.0, 5.9,134,2.628389, 22.1636, 1.65218979, 1.213517005, 0.46455772,-0.9374146,-1.2118432
D.LACINI,297.0,53.0,432.0,14.2,227,2.472756, 16.9636, 0.58596776, 0.928803418, 2.14496419, 1.2129862,-0.6763289
E.AMERIC,222.0,42.0,263.0,11.9,359,2.346353,  5.9636,-0.03877171, 0.326524674, 0.54952209, 0.6170920, 0.0837559
S.TEREBI,133.0,14.4,175.0,13.4,615,2.123852,-21.6364,-0.78012921,-1.184647446,-0.28124065, 1.0057187, 1.5578598
P.PELTAT,309.0,44.7,244.0, 7.9,164,2.489958,  8.6636, 0.68592608, 0.474356729, 0.37015286,-0.4192457,-1.0390967
B.LEUCOP,106.3,35.9,159.0,15.0,481,2.026533, -0.1364,-1.00253647,-0.007466265,-0.43228843, 1.4202537, 0.7862585
T.GRANDI,357.0,51.6,209.0, 5.8,499,2.552668, 15.5636, 1.08575934, 0.852149759, 0.03973586,-0.9633230, 0.8899065
E.PURPUR,128.5,15.0,122.9, 9.8,480,2.108903,-21.0364,-0.81761358,-1.151795878,-0.77308996, 0.0730147, 0.7805003
S.INTEGR,116.3,16.6,116.0,10.0,478,2.065580,-19.4364,-0.91923787,-1.064191697,-0.83822931, 0.1248316, 0.7689839
S.CANADE,321.0,53.6,255.0, 7.9,208,2.506505, 17.5636, 0.78588439, 0.961654985, 0.47399821,-0.4192457,-0.7857351
S.PURPUR, 78.1,11.4, 22.8, 2.9,144,1.892651,-24.6364,-1.23743851,-1.348905285,-1.71808259,-1.7146679,-1.1542610
