SITE,CU,PB,NI,MN,LCU,LCR,LCD,LPB,LFE,LNI,LMN,LME,DISCRIM1,DISCRIM2
Delray, 7.15,12.00, 7.40,137.0,0.8543060,1.611192,-1.0222764,1.0791812,4.060698,0.8692317,2.136721,-0.29670862,-2.7722899,-0.27241481
Delray, 5.85, 6.35, 7.05,106.5,0.7671559,1.584896,-0.9208188,0.8027737,3.989005,0.8481891,2.027350,-0.07314329,-3.9036200, 0.60976500
Delray, 5.45, 4.95,10.40,102.5,0.7363965,1.667453,-0.5686362,0.6946052,4.125481,1.0170333,2.010724,-0.31425826,-2.9137979, 0.48661780
Delray, 8.50, 7.05, 6.40,125.0,0.9294189,1.692406,-0.9586073,0.8481891,4.023252,0.8061800,2.096910, 0.02734961,-3.3564112, 1.20296585
Seaspray, 9.45,10.50,12.15,162.5,0.9754318,1.723866,-0.9393022,1.0211893,4.195900,1.0845763,2.210853,-0.03857891,-0.4611410,-0.07375475
Seaspray, 6.30,18.35,11.85,129.5,0.7993405,1.688420,-0.7825161,1.2636361,4.186108,1.0737184,2.112270,-1.00000000,-1.7918014,-2.07817214
Seaspray, 7.80,18.10,10.70,224.5,0.8920946,1.666986,-0.9586073,1.2576786,4.164353,1.0293838,2.351216,-1.30103000, 0.2547779,-0.94426069
Seaspray, 9.15,16.55,12.20,247.0,0.9614211,1.657056,-1.0457575,1.2187980,4.181844,1.0863598,2.392697,-1.30103000, 1.1281243,-0.59744113
Woodside,10.80,28.90,18.30,403.5,1.0334238,1.826075,-0.4317983,1.4608978,4.205475,1.2624511,2.605844,-1.30103000, 4.2606952,-1.53998434
Woodside,21.20,11.60,18.20,377.0,1.3263359,1.826723,-1.0000000,1.0644580,4.214844,1.2600714,2.576341,-0.06550155, 4.5330522, 1.26948370
Woodside,18.20,13.85,15.30,256.0,1.2600714,1.770852,-0.4436975,1.1414498,4.201397,1.1846914,2.408240,-0.18045606, 2.3430169, 0.43471934
Woodside, 7.60, 9.35, 9.25,440.0,0.8808136,1.649821,-1.1549020,0.9708116,4.096910,0.9661417,2.643453,-0.80966830, 2.6793948, 1.50247617
