LOCATION,FUNCTION,GROUP,SLA,N,AMASS,AAREA,GS,LSLA,DISCRIM1,DISCRIM2
1,1,1,119,25,120.4,10.8,673,2.07554696139253,-2.44348830643847,-0.696789337103033
1,1,1,121,39,136,11.1,512,2.08278537031645,-2.54799085438617,-1.02196213098188
1,1,1,126,29,110,8.7,462,2.10037054511756,-1.42147320108454,-0.742403369730618
1,2,2,122.8,26.3,124.3,10.2,481,2.08919836680515,-0.82228902353377,-0.580184457625419
1,2,2,123,26.7,151.4,12.2,542,2.0899051114394,-0.871415218957425,-0.380809520405177
1,2,2,171,23.4,104.5,6.1,249,2.23299611039215,1.62443985029444,-0.0137854484364557
1,2,2,78.4,12.3,31.8,4.4,191,1.89431606268444,0.384075226013226,-1.31215513804353
2,1,3,425,58.2,254,5.9,134,2.62838893005031,0.0859462419957255,1.70602490724272
2,1,3,297,53,432,14.2,227,2.47275644931721,-0.165688869384229,3.33143499855648
2,1,3,222,42,263,11.9,359,2.34635297445064,-0.105727520811172,1.26321505177273
2,1,3,133,14.4,175,13.4,615,2.12385164096709,0.557526871493577,0.427976896437934
2,1,3,309,44.7,244,7.9,164,2.48995847942483,1.27238020406366,1.5993771075097
2,1,3,106.3,35.9,159,15,481,2.0265332645233,-0.713602640725884,-1.01047444433566
2,1,3,357,51.6,209,5.8,499,2.55266821611219,-3.06089962833679,1.09571536883035
2,1,3,128.5,15,122.9,9.8,480,2.10890312766731,0.651176794595298,-0.0610856515877451
2,1,3,116.3,16.6,116,10,478,2.06557971472845,0.230173450712887,-0.348316932484409
2,1,3,321,53.6,255,7.9,208,2.50650503240487,-0.326101262297321,1.426084349243
2,2,4,110.4,15.5,72.8,6.6,215,2.04296907339318,1.77983141277223,-0.65722946333614
2,2,4,123,14.5,95,7,250,2.0899051114394,1.89734557284827,-0.224540190098712
2,2,4,120,19,118,9.8,320,2.07918124604762,1.58942852392232,-0.338565165121864
2,2,4,115,23,135,11,440,2.06069784035361,-0.00416807351768078,-0.42535123951584
2,2,4,75.8,13.9,70.3,9.3,309,1.87966920563205,0.765307120639712,-1.27043393474755
2,2,4,114.9,11.9,70.1,6.1,299,2.06032002868829,1.31580012873721,-0.481819970996353
2,1,3,78.1,11.4,22.8,2.9,144,1.8926510338773,0.329413201384974,-1.28392228504252
