SITE,TYPE,RRATTUS,MMUSCUL,PCALIFO,PEREMIC,RMEGALO,NFUSCIP,NLEPIDA,PFALLAX,MCALIFO,COMPCOR1,COMPCOR2,COMPCOR3,COMPCOV1,COMPCOV2,COMPCOV3
Florida,FRAG,0,13, 3, 1, 1, 2, 0, 0,0,-0.56700958,-0.16381655,-1.74519941,-0.5686856, 0.14750419,-0.009136999
Sandmark,FRAG,0, 1,57,65, 9,16, 8, 2,3, 2.76441818, 2.17024173,-0.59931742, 2.3046302, 3.61128173, 0.652565686
34street,FRAG,0, 4,36, 0, 2, 9, 0, 0,0, 0.04293185,-0.37744012,-0.11117829, 0.6212742,-0.92631769,-0.629442146
Balboaterr,FRAG,0, 4,53, 1, 5,30, 0,18,3, 2.16791084,-3.28603679, 0.35662373, 1.4442302,-1.72577002, 3.275891827
Katesess,FRAG,0, 2,63,21,11,16, 0, 0,0, 1.14727181,-0.08294159, 0.27490064, 1.9205055,-0.09384988,-0.537053968
Altalajolla,FRAG,0, 1,48,35,12, 8,12, 2,2, 2.28656766, 2.32819151,-0.58357078, 1.5617730, 1.66696002,-0.540441158
Laurel,FRAG,0,11, 0, 0, 0, 0, 0, 0,0,-0.66844528,-0.06351213,-1.47063306,-0.7017199, 0.17497498,-0.176094308
Canon,FRAG,0,16, 0, 0, 0, 0, 0, 0,0,-0.74705130,-0.16824704,-2.23801311,-0.7114330, 0.17544276,-0.174578662
Zena,FRAG,3, 8, 0, 0, 0, 0, 0, 0,0,-0.86093072, 0.56171900, 0.68765784,-0.6969762, 0.17506158,-0.200957496
Baja,FRAG,1, 2, 0, 0, 0, 0, 0, 0,0,-0.60683746, 0.31247410, 0.47660533,-0.6845976, 0.17425540,-0.186807072
Washington,FRAG,0, 9, 0, 0, 0, 0, 0, 0,0,-0.63700287,-0.02161817,-1.16368103,-0.6978346, 0.17478787,-0.176700567
Solanadrive,FRAG,0, 3, 1, 0, 5,16, 0, 7,0, 0.34898327,-1.37202779, 0.10890121,-0.4771255,-0.10834276, 2.762364445
Syracuse,FRAG,0, 4,39, 0, 4,12, 0, 0,0, 0.23617746,-0.49620803,-0.05498334, 0.7586214,-1.04310123,-0.326118531
32streetsth,FRAG,1, 3, 0, 0, 0, 0, 0, 0,0,-0.62255866, 0.29152712, 0.32312932,-0.6865403, 0.17434896,-0.186503943
60th,FRAG,0,11, 0, 0, 0, 0, 0, 0,0,-0.66844528,-0.06351213,-1.47063306,-0.7017199, 0.17497498,-0.176094308
Juan,FRAG,0, 4, 0, 0, 0, 0, 0, 0,0,-0.55839685, 0.08311674,-0.39630098,-0.6881215, 0.17432009,-0.178216214
Acuna,FRAG,3, 0, 0, 0, 0, 0, 0, 0,0,-0.73516108, 0.72929486, 1.91546593,-0.6814352, 0.17431314,-0.203382530
Edison,FRAG,0, 2,78, 0,10,14, 0, 4,0, 1.05814567,-1.07339187, 0.59309917, 2.1424570,-2.16264866,-1.550603121
Spruce,FRAG,0, 0, 1, 0, 0, 0, 0, 0,0,-0.48758930, 0.16423202, 0.22270011,-0.6463785, 0.14646484,-0.228678087
Oakcrest,FRAG,3, 0,27, 1, 0, 0, 0, 0,0,-0.50909549, 0.68324834, 2.04466808, 0.2488631,-0.48930410,-1.517108448
54street,FRAG,2, 1, 0, 0, 0, 0, 0, 0,0,-0.67099927, 0.52088448, 1.19603563,-0.6830164, 0.17428427,-0.195094801
Titus,FRAG,0, 3, 0, 0, 0, 0, 0, 0,0,-0.54267565, 0.10406373,-0.24282496,-0.6861788, 0.17422654,-0.178519343
Montanosa,FRAG,0, 0, 0, 0, 2, 8, 0, 2,0,-0.13175120,-0.39439702, 0.35435200,-0.5983668, 0.05826033, 1.176920868
Elmac,FRAG,1, 0, 0, 0, 0, 0, 0, 0,0,-0.57539505, 0.35436807, 0.78355736,-0.6807124, 0.17406829,-0.187413331
32streetnth,FRAG,0, 5, 0, 0, 0, 0, 0, 0,0,-0.57411806, 0.06216976,-0.54977699,-0.6900641, 0.17441365,-0.177913084
Tec1,CON,0, 0,22, 0, 0,11, 0, 2,0, 0.01970443,-0.59603683, 0.48630848, 0.1645544,-0.58896216, 0.513042551
Tec2,CON,0, 0,29, 0,10, 9, 0, 1,0, 0.47104604,-0.33037342, 0.53183108, 0.4330898,-0.72632313,-0.133124850
Delmarmesa,CON,0, 0,10, 1, 0, 1, 0, 0,0,-0.37969409, 0.12402801, 0.27027652,-0.3190925,-0.03532401,-0.510802410
