SITE,SPECIES,FREQ,ABUND
Florida,rrattus,0.000000, 0
Sandmark,rrattus,0.000000, 0
34street,rrattus,0.000000, 0
Balboaterr,rrattus,0.000000, 0
Katesess,rrattus,0.000000, 0
Altalajolla,rrattus,0.000000, 0
Laurel,rrattus,0.000000, 0
Canon,rrattus,0.000000, 0
Zena,rrattus,1.316074, 3
Baja,rrattus,1.000000, 1
Washington,rrattus,0.000000, 0
Solanadrive,rrattus,0.000000, 0
Syracuse,rrattus,0.000000, 0
32streetsth,rrattus,1.000000, 1
60th,rrattus,0.000000, 0
Juan,rrattus,0.000000, 0
Acuna,rrattus,1.316074, 3
Edison,rrattus,0.000000, 0
Spruce,rrattus,0.000000, 0
Oakcrest,rrattus,1.316074, 3
54street,rrattus,1.189207, 2
Titus,rrattus,0.000000, 0
Montanosa,rrattus,0.000000, 0
Elmac,rrattus,1.000000, 1
32streetnth,rrattus,0.000000, 0
Tec1,rrattus,0.000000, 0
Tec2,rrattus,0.000000, 0
Delmarmesa,rrattus,0.000000, 0
Florida,mmuscul,1.898829,13
Sandmark,mmuscul,1.000000, 1
34street,mmuscul,1.414214, 4
Balboaterr,mmuscul,1.414214, 4
Katesess,mmuscul,1.189207, 2
Altalajolla,mmuscul,1.000000, 1
Laurel,mmuscul,1.821160,11
Canon,mmuscul,2.000000,16
Zena,mmuscul,1.681793, 8
Baja,mmuscul,1.189207, 2
Washington,mmuscul,1.732051, 9
Solanadrive,mmuscul,1.316074, 3
Syracuse,mmuscul,1.414214, 4
32streetsth,mmuscul,1.316074, 3
60th,mmuscul,1.821160,11
Juan,mmuscul,1.414214, 4
Acuna,mmuscul,0.000000, 0
Edison,mmuscul,1.189207, 2
Spruce,mmuscul,0.000000, 0
Oakcrest,mmuscul,0.000000, 0
54street,mmuscul,1.000000, 1
Titus,mmuscul,1.316074, 3
Montanosa,mmuscul,0.000000, 0
Elmac,mmuscul,0.000000, 0
32streetnth,mmuscul,1.495349, 5
Tec1,mmuscul,0.000000, 0
Tec2,mmuscul,0.000000, 0
Delmarmesa,mmuscul,0.000000, 0
Florida,pcalifo,1.316074, 3
Sandmark,pcalifo,2.747696,57
34street,pcalifo,2.449490,36
Balboaterr,pcalifo,2.698168,53
Katesess,pcalifo,2.817313,63
Altalajolla,pcalifo,2.632148,48
Laurel,pcalifo,0.000000, 0
Canon,pcalifo,0.000000, 0
Zena,pcalifo,0.000000, 0
Baja,pcalifo,0.000000, 0
Washington,pcalifo,0.000000, 0
Solanadrive,pcalifo,1.000000, 1
Syracuse,pcalifo,2.498999,39
32streetsth,pcalifo,0.000000, 0
60th,pcalifo,0.000000, 0
Juan,pcalifo,0.000000, 0
