SITELAB,FACTOR1,FACTOR2,SPLAB,DIM1,DIM2
32streetnth, 2.65019488, 1.143264532,mcalifo,-0.3838821, 0.01686660
32streetsth, 2.74183059,-1.097645879,mmuscul, 2.2895379, 0.77462584
34street,-0.11322836, 0.059135079,nfuscip,-0.2732769, 0.07662170
54street, 2.89455652,-4.832496643,nlepida,-0.4467095,-0.02779902
60th, 2.65019488, 1.143264532,pcalifo,-0.3071181,-0.05080108
Acuna, 3.01673746,-7.820377350,peremic,-0.4132524,-0.02486477
Altalajolla,-0.38166362,-0.018569471,pfallax,-0.2746243, 0.10305312
Baja, 2.77237582,-1.844616055,rmegalo,-0.3155994, 0.04208708
Balboaterr,-0.23763306, 0.062088776,rrattus, 2.6061990,-5.29874420
Canon, 2.65019488, 1.143264532,,.,.
Delmarmesa,-0.36247000,-0.056115139,,.,.
Edison,-0.29427373,-0.006934582,,.,.
Elmac, 3.01673746,-7.820377350,,.,.
Florida, 1.59548652, 0.744454861,,.,.
Juan, 2.65019488, 1.143264532,,.,.
Katesess,-0.32053876,-0.006327678,,.,.
Laurel, 2.65019488, 1.143264532,,.,.
Montanosa,-0.32474938, 0.111092158,,.,.
Oakcrest,-0.03311434,-0.823296964,,.,.
Sandmark,-0.39229992,-0.019234279,,.,.
Solanadrive,-0.04743325, 0.204357207,,.,.
Spruce,-0.35549659,-0.074976936,,.,.
Syracuse,-0.14441928, 0.055160109,,.,.
Tec1,-0.34103608,-0.002896072,,.,.
Tec2,-0.34953764,-0.007822595,,.,.
Titus, 2.65019488, 1.143264532,,.,.
Washington, 2.65019488, 1.143264532,,.,.
Zena, 2.75016093,-1.301365018,,.,.
Sandmark,-0.39229992,-0.019234279,,.,.
Solanadrive,-0.04743325, 0.204357207,,.,.
Spruce,-0.35549659,-0.074976936,,.,.
Syracuse,-0.14441928, 0.055160109,,.,.
Tec1,-0.34103608,-0.002896072,,.,.
Tec2,-0.34953764,-0.007822595,,.,.
Titus, 2.65019488, 1.143264532,,.,.
Washington, 2.65019488, 1.143264532,,.,.
Zena, 2.75016093,-1.301365018,,.,.
