STREAM,MAXELEV,SAMPELEV,LENGTH,AREA,NO3,TON,TN,NH4,DOC,SO4,CL,CA,MG,H,LDOC,LCL,LH,COMPON1,COMPON2,COMPON3
Santa Cruz,1006,680,1680,  23,24.2,5.6,29.9,0.8,180.4,50.6,15.5,54.7,14.4,0.48,2.256237,1.190332,-0.31875876,-1.36292169,-0.122196059, 2.24956599
Colgate,1216,628,3912, 462,25.4,4.9,30.3,1.4,108.8,55.4,16.4,58.4,17.0,0.24,2.036629,1.214844,-0.61978876,-0.76454103,-0.363697421, 0.85679710
Halsey,1204,625,4032, 297,29.7,4.4,33.0,0.8,104.7,56.5,17.1,65.9,19.6,0.47,2.019947,1.232996,-0.32790214,-0.52630473,-0.754656905, 1.16258418
Batavia Hill,1213,663,3072, 399,22.1,6.1,28.3,1.4, 84.5,57.5,16.8,59.5,19.5,0.23,1.926857,1.225309,-0.63827216,-0.39609957, 0.107087711, 0.87456769
Windham Ridg,1074,616,2520, 207,13.1,5.7,17.6,0.6, 82.4,58.3,18.3,54.6,21.9,0.37,1.915927,1.262451,-0.43179828,-0.57828849, 0.988520398, 1.14362121
Silver Sprin,1113,451,3120, 348,27.5,3.0,30.8,1.1, 86.6,63.0,15.7,68.5,22.4,0.17,1.937518,1.195900,-0.76955108, 0.05477085,-0.895441835, 0.27364191
Little Timbe,1027,463,2064, 179,28.1,4.7,32.8,1.4, 91.9,66.5,26.9,84.6,26.2,0.14,1.963316,1.429752,-0.85387196, 1.07253418,-0.431616602, 0.76164118
Hunter,1234,634,4416, 504,31.2,5.4,37.1,2.5, 39.1,64.5,22.0,73.1,25.4,0.14,1.592177,1.342423,-0.85387196, 0.80935900,-0.744779931,-1.13959211
West Kill,1234,658,3600, 546,22.6,3.1,26.0,3.1, 66.6,63.4,21.3,71.1,21.8,0.16,1.823474,1.328380,-0.79588002,-0.08298044,-0.288822598,-1.73857326
Mill,1137,674,2856, 279,35.9,4.9,39.8,1.4, 59.3,58.4,29.8,91.2,22.2,0.10,1.773055,1.474216,-1.00000000, 0.96827446,-1.240015311, 0.11054289
Kelly Hollow,1061,533,3960, 516,35.9,2.9,40.8,0.6, 51.3,70.6,18.4,94.4,28.5,0.11,1.710117,1.264818,-0.95860731, 1.69557400,-1.855196623, 0.10592032
Pigeon,1173,619,4608, 706,22.4,5.8,28.0,1.1, 93.7,56.9,16.6,59.4,16.0,0.27,1.971740,1.220108,-0.56863624,-0.65973533,-0.040737067, 1.08467252
Biscuit,1125,619,5616, 992,22.2,4.0,25.8,0.8, 83.5,56.7,16.6,46.7,17.5,0.46,1.921686,1.220108,-0.33724217,-1.12763309,-0.151067292, 0.48302395
Fall,1018,530,7176,1263,20.5,3.9,23.3,0.8, 70.1,60.4,19.4,70.0,18.2,0.22,1.845718,1.287802,-0.65757732,-0.25131122,-0.174944570, 0.19425252
Bear Hole,1171,363,6960, 804,24.9,5.7,30.7,0.8, 67.4,67.8,19.9,43.9,25.0,0.50,1.828660,1.298853,-0.30103000, 0.03190715, 0.119077498, 0.94152311
