SITE,FLORIDA,SANDMARK,V34STREE,BALBOATE,KATESESS,ALTALAJO,LAUREL,CANON,ZENA,BAJA,WASHINGT,SOLANADR,SYRACUSE,V32STREE,V60TH,JUAN,ACUNA,EDISON,SPRUCE,OAKCREST,V54STREE,TITUS,MONTANOS,ELMAC,V32STRE1,TEC1,TEC2,DELMARME
Florida,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sandmark,0.6444099,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
34street,0.6323529,0.5011570,0.00000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Balboaterr,0.6622807,0.4566852,0.28431373,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Katesess,0.6323009,0.2986313,0.24397015,0.3231641,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Altalajolla,0.6750000,0.1467391,0.48578431,0.4390351,0.2418142,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Laurel,0.3500000,0.9937888,0.92156863,0.9649123,0.9823009,0.9916667,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Canon,0.3500000,0.9937888,0.92156863,0.9649123,0.9823009,0.9916667,0.0000000,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Zena,0.3500000,0.9937888,0.92156863,0.9649123,0.9823009,0.9916667,0.2727273,0.2727273,0.00000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Baja,0.3500000,0.9937888,0.92156863,0.9649123,0.9823009,0.9916667,0.3333333,0.3333333,0.06060606,0.00000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Washington,0.3500000,0.9937888,0.92156863,0.9649123,0.9823009,0.9916667,0.0000000,0.0000000,0.27272727,0.33333333,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Solanadrive,0.7250000,0.7948370,0.67463235,0.4687500,0.7121128,0.7770833,0.9062500,0.9062500,0.90625000,0.90625000,0.9062500,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Syracuse,0.6322034,0.4844720,0.05550017,0.2527505,0.2153892,0.4572034,0.9322034,0.9322034,0.93220339,0.93220339,0.9322034,0.6297669,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
32streetsth,0.3500000,0.9937888,0.92156863,0.9649123,0.9823009,0.9916667,0.2500000,0.2500000,0.02272727,0.08333333,0.2500000,0.9062500,0.9322034,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.,.
60th,0.3500000,0.9937888,0.92156863,0.9649123,0.9823009,0.9916667,0.0000000,0.0000000,0.27272727,0.33333333,0.0000000,0.9062500,0.9322034,0.2500000,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.,.
Juan,0.3500000,0.9937888,0.92156863,0.9649123,0.9823009,0.9916667,0.0000000,0.0000000,0.27272727,0.33333333,0.0000000,0.9062500,0.9322034,0.2500000,0.0000000,0.0000000,.,.,.,.,.,.,.,.,.,.,.,.
Acuna,1.0000000,1.0000000,1.00000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0.72727273,0.66666667,1.0000000,1.0000000,1.0000000,0.7500000,1.0000000,1.0000000,0.0000000,.,.,.,.,.,.,.,.,.,.,.
Edison,0.6814815,0.4720497,0.10675381,0.3060429,0.2025565,0.4157407,0.9814815,0.9814815,0.98148148,0.98148148,0.9814815,0.6909722,0.1230383,0.9814815,0.9814815,0.9814815,1.0000000,0.0000000,.,.,.,.,.,.,.,.,.,.
Spruce,0.8500000,0.6459627,0.29411765,0.5350877,0.4424779,0.6000000,1.0000000,1.0000000,1.00000000,1.00000000,1.0000000,0.9687500,0.3389831,1.0000000,1.0000000,1.0000000,1.0000000,0.2777778,0.0000000,.,.,.,.,.,.,.,.,.
