SITE,AXIS1,AXIS2
Florida,-0.26,-0.20
Sandmark, 0.54, 0.50
34street, 0.78, 0.07
Balboaterr, 0.77,-0.27
Katesess, 0.71, 0.17
Altalajolla, 0.58, 0.44
Laurel,-0.87,-0.40
Canon,-0.87,-0.40
Zena,-0.89,-0.02
Baja,-0.89, 0.06
Washington,-0.87,-0.40
Solanadrive, 0.63,-0.95
Syracuse, 0.77,-0.01
32streetsth,-0.89,-0.08
60th,-0.87,-0.40
Juan,-0.87,-0.40
Acuna,-0.86, 1.26
Edison, 0.80, 0.07
Spruce, 1.25, 0.41
Oakcrest, 0.90, 0.58
54street,-0.85, 0.56
Titus,-0.87,-0.40
Montanosa, 0.87,-1.15
Elmac,-0.86, 1.26
32streetnth,-0.87,-0.40
Tec1, 0.98,-0.16
Tec2, 0.94,-0.07
Delmarmesa, 1.04, 0.34
