SITE,HABITAT,DIM1,DIM2,DIM3
Reedy Lake,Mixed,-1.68190348, 0.289817810,-0.21140184
Pearcedale,Gippsland Ma,-0.67162436, 1.050533175,-0.12612228
Warneet,Gippsland Ma,-0.62305987, 0.741315067,-0.30873123
Cranbourne,Gippsland Ma,-0.70505887, 0.934036374,-0.10297569
Lysterfield,Mixed, 0.49348700, 0.431808710,-0.11604656
Red Hill,Mixed, 0.64202350, 0.023225568, 0.10436228
Devilbend,Mixed, 0.09284011, 0.388391227, 0.24339570
Olinda,Mixed, 0.69139320, 0.020235512, 0.14189675
Fern Tree Gu,Montane Fore, 0.68811703,-0.047613241, 0.21069454
Sherwin,Foothills Wo, 0.22846334,-0.661427081,-0.22513115
Heathcote Ju,Montane Fore, 0.53617662,-0.344478309, 0.03723064
Warburton,Montane Fore, 0.55500382, 0.214407191, 0.10790295
Millgrove,Mixed, 0.47804239, 0.015055925, 0.05365681
Ben Cairn,Mixed, 0.80587977, 0.040437873, 0.51679170
Panton Gap,Montane Fore, 0.76678121,-0.083951049, 0.32330838
OShannassy,Mixed, 0.69003230, 0.033658627, 0.32842043
Ghin Ghin,Mixed,-0.36111191,-0.350181878, 0.66496104
Minto,Mixed,-0.09110662, 0.071560830, 0.75701582
Hawke,Mixed, 0.54550833,-0.192333415,-0.13853462
St Andrews,Foothills Wo, 0.42787597,-0.435137212,-0.17038970
Nepean,Foothills Wo, 0.55260491, 0.009713293,-0.06003416
Cape Schanck,Mixed, 0.35516980, 0.854099751,-0.29674631
Balnarring,Mixed, 0.47762519, 0.655341744, 0.26666138
Bittern,Gippsland Ma,-0.28731784, 0.759652853,-0.11433792
Bailieston,Box-Ironbark, 0.23050849,-0.768912256,-0.64653218
Donna Buang,Mixed, 0.83143532,-0.283289701, 0.81247061
Upper Yarra,Mixed, 0.54000747,-0.229429558, 0.15462913
Gembrook,Mixed, 0.54341835, 0.298909962,-0.29048875
Arcadia,River Red Gu,-1.57798588,-0.224588349, 0.54825044
Undera,River Red Gu,-1.20610917,-0.855117738, 0.22309490
Coomboona,River Red Gu,-1.40975630,-0.676009178, 0.46948457
Toolamba,River Red Gu,-1.69631934,-0.205980122, 0.56117636
Rushworth,Box-Ironbark,-0.31281066,-0.419173062,-1.11716115
Sayers,Box-Ironbark, 0.06843021,-0.514781356,-0.80420202
Waranga,Mixed,-1.06630599, 0.216598794,-0.69383544
Costerfield,Box-Ironbark, 0.02783763,-0.492971033,-0.60146672
Tallarook,Foothills Wo, 0.42180839,-0.263425440,-0.50126690
