CL1,CL2,JOIN,MEMBERS
FERN_TRE,OLINDA,0.219, 2
MILLGROV,FERN_TRE,0.258, 3
TOOLAMBA,COOMBOON,0.268, 2
MILLGROV,RED_HILL,0.272, 4
PANTON_G,BEN_CAIR,0.277, 2
HAWKE,HEATHCOT,0.282, 2
COSTERFI,SAYERS,0.302, 2
PANTON_G,O_SHANNA,0.310, 3
UPPER_YA,HAWKE,0.311, 3
NEPEAN,MILLGROV,0.328, 5
BITTERN,WARNEET,0.334, 2
PANTON_G,WARBURTO,0.335, 4
CRANBOUR,PEARCEDA,0.346, 2
ARCADIA,TOOLAMBA,0.346, 3
TALLAROO,ST_ANDRE,0.348, 2
UPPER_YA,NEPEAN,0.354, 8
PANTON_G,UPPER_YA,0.375,12
COSTERFI,RUSHWORT,0.377, 3
BAILIEST,SHERWIN,0.397, 2
BITTERN,CRANBOUR,0.409, 4
DEVILBEN,LYSTERFI,0.414, 2
ARCADIA,UNDERA,0.421, 4
MINTO,GHIN_GHI,0.436, 2
BAILIEST,COSTERFI,0.437, 5
GEMBROOK,PANTON_G,0.442,13
TALLAROO,GEMBROOK,0.455,15
WARANGA,REEDY_LA,0.459, 2
BALNARRI,CAPE_SCH,0.464, 2
TALLAROO,DEVILBEN,0.475,17
DONNA_BU,TALLAROO,0.525,18
BALNARRI,DONNA_BU,0.536,20
BALNARRI,BAILIEST,0.585,25
BITTERN,WARANGA,0.594, 6
BALNARRI,MINTO,0.607,27
BITTERN,ARCADIA,0.687,10
BALNARRI,BITTERN,0.752,37
