STREAM,ELEVATN,SO4,SO4MOD,CL
Santa_Cruz,680,50.6, 50.6,15.5
Colgate,628,55.4, 55.4,16.4
Halsey,625,56.5, 56.5,17.1
Batavia_Hi,663,57.5, 57.5,16.8
Windham_Ri,616,58.3, 58.3,18.3
Silver_Spr,451,63.0, 63.0,15.7
Little_Tim,463,66.5, 66.5,26.9
Hunter,634,64.5, 64.5,22.0
West_Kill,658,63.4, 63.4,21.3
Mill,674,58.4, 58.4,29.8
Kelly_Holl,533,70.6, 70.6,18.4
Pigeon,619,56.9, 56.9,16.6
Biscuit,619,56.7, 56.7,16.6
Winnisook,811,56.0, 56.0,14.0
Fall,530,60.4, 60.4,19.4
Bear_Hole,363,67.8, 67.8,19.9
Buttermilk,405,70.8, 70.8,20.6
Rondout,454,58.6, 58.6,21.5
Kanape,334,59.5, 59.5,25.5
Woodland V,425,55.5, 55.5,24.5
Broadst_Ho,433,63.4, 63.4,22.4
Pecoy,591,57.8, 57.8,26.4
Prediger,610,55.1, 55.1,20.5
Bear_Pen,497,65.5, 65.5,13.4
Weaver,786,62.7, 62.7,13.0
BWS6,512,72.1,200.0,18.7
Halcott,555,63.4, 63.4,24.6
Tonshi,293,68.5, 68.5,78.8
Grog_Kill,271,65.8, 65.8,63.6
Hollow_Tre,457,69.2, 69.2,22.3
Lost_Clove,460,66.7, 66.7,18.6
Black,683,59.3, 59.3,14.9
Styles,576,61.1, 61.1,17.8
Warners,418,62.1, 62.1,34.4
Kittle,567,70.4, 70.4,24.4
Traver_Hol,311,62.1, 62.1,21.9
Willowemoc,607,64.6, 64.6,16.4
Myrtle,475,61.4, 61.4,21.0
Becker_Hol,588,56.9, 56.9,20.9
