STREAM,ZINC,DIVERSTY,ZNGROUP,RESID1,PREDICT1,RESID2,PREDICT2
Eagle,BACK,2.27,1, 0.47250000,1.797500, 0.69750000,1.572500
Eagle,HIGH,1.25,4,-0.02777778,1.277778,-0.32250000,1.572500
Eagle,HIGH,1.15,4,-0.12777778,1.277778,-0.42250000,1.572500
Eagle,MED,1.62,3,-0.09777778,1.717778, 0.04750000,1.572500
Blue,BACK,1.70,1,-0.09750000,1.797500, 0.03000000,1.670000
Blue,HIGH,0.63,4,-0.64777778,1.277778,-1.04000000,1.670000
Blue,BACK,2.05,1, 0.25250000,1.797500, 0.38000000,1.670000
Blue,BACK,1.98,1, 0.18250000,1.797500, 0.31000000,1.670000
Blue,HIGH,1.04,4,-0.23777778,1.277778,-0.63000000,1.670000
Blue,MED,2.19,3, 0.47222222,1.717778, 0.52000000,1.670000
Blue,MED,2.10,3, 0.38222222,1.717778, 0.43000000,1.670000
Snake,BACK,2.20,1, 0.40250000,1.797500, 0.42200000,1.778000
Snake,MED,2.06,3, 0.34222222,1.717778, 0.28200000,1.778000
Snake,HIGH,1.90,4, 0.62222222,1.277778, 0.12200000,1.778000
Snake,HIGH,1.88,4, 0.60222222,1.277778, 0.10200000,1.778000
Snake,HIGH,0.85,4,-0.42777778,1.277778,-0.92800000,1.778000
Arkan,LOW,1.40,2,-0.63250000,2.032500,-0.50714286,1.907143
Arkan,LOW,2.18,2, 0.14750000,2.032500, 0.27285714,1.907143
Arkan,LOW,1.83,2,-0.20250000,2.032500,-0.07714286,1.907143
Arkan,LOW,1.88,2,-0.15250000,2.032500,-0.02714286,1.907143
Arkan,MED,2.02,3, 0.30222222,1.717778, 0.11285714,1.907143
Arkan,MED,1.94,3, 0.22222222,1.717778, 0.03285714,1.907143
Arkan,LOW,2.10,2, 0.06750000,2.032500, 0.19285714,1.907143
Chalk,LOW,2.38,2, 0.34750000,2.032500, 0.42800000,1.952000
Chalk,HIGH,1.43,4, 0.15222222,1.277778,-0.52200000,1.952000
Chalk,HIGH,1.37,4, 0.09222222,1.277778,-0.58200000,1.952000
Chalk,MED,1.75,3, 0.03222222,1.717778,-0.20200000,1.952000
Chalk,LOW,2.83,2, 0.79750000,2.032500, 0.87800000,1.952000
Splat,BACK,1.53,1,-0.26750000,1.797500, 0.26000000,1.270000
Splat,BACK,0.76,1,-1.03750000,1.797500,-0.51000000,1.270000
Splat,MED,0.80,3,-0.91777778,1.717778,-0.47000000,1.270000
Splat,LOW,1.66,2,-0.37250000,2.032500, 0.39000000,1.270000
Splat,MED,0.98,3,-0.73777778,1.717778,-0.29000000,1.270000
Splat,BACK,1.89,1, 0.09250000,1.797500, 0.62000000,1.270000
