DENSITY,SEASON,EGGS,RESID1,PREDICT1
 6,spring,1.167, 0.05566667,1.1113333
 6,spring,0.500,-0.61133333,1.1113333
 6,spring,1.667, 0.55566667,1.1113333
 6,summer,4.000, 0.11333333,3.8866667
 6,summer,3.830,-0.05666667,3.8866667
 6,summer,3.830,-0.05666667,3.8866667
12,spring,1.500, 0.38900000,1.1110000
12,spring,0.833,-0.27800000,1.1110000
12,spring,1.000,-0.11100000,1.1110000
12,summer,3.330, 0.44333333,2.8866667
12,summer,2.580,-0.30666667,2.8866667
12,summer,2.750,-0.13666667,2.8866667
24,spring,0.667,-0.02766667,0.6946667
24,spring,0.667,-0.02766667,0.6946667
24,spring,0.750, 0.05533333,0.6946667
24,summer,2.540, 0.54000000,2.0000000
24,summer,1.830,-0.17000000,2.0000000
24,summer,1.630,-0.37000000,2.0000000
