BASIN,SUB,BLOCK,AMGO,AMRO,BAEA,BCCH,BEKI,BEWR,BGWA,BHGR,BRCR,BTPI,BUSH,CBCH,CEWA,COME,CONI,CORA,COYE,DEJU,DOWO,EVGR,GBHE,GCKI,GRJA,HAFL,HAWO,HEWA,HOWR,HUVI,MALL,MAMU,MGWA,MOQU,NOFL,OCWA,OSFL,PIWO,PUFI,PYOW,RBNU,RBSA,RECR,RSTO,RTHA,RUGR,RUHU,SCOW,SOSP,SSHA,STJA,SWTH,TRSW,VATH,VGSW,WAVI,WCSP,WEFL,WETA,WIFL,WIWA,WIWR,WODU,WREN,WWPE,VAREA,FAREA,SAREA,DAREA,MVWIDTH,MFWIDTH,MSWIDTH,MVCON,MFCON,CVWIDTH,CFWIDTH,CSWIDTH,CVCON,CFCON,B,CCP,CLS,COP,G,HCP,HCS,HLS,HOP,HSH,HSS,HSW,HW,MCP,MCS,MGF,MLS,MOP,MOS,MSH,NPATCH,MPSIZE,MPSHAPE,MPFRAC,CPSIZE,TEDGE,LFRAC,PRICH,SHANNON,SIMPSON,SHEVEN,SIEVEN,AMPSHAPE,CONEDGE
D,AL,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,5,2,0,2,0,1,0,3,3,0,3,7,0,0,3,1.204,1.204,0.82,4.705,3.226,3.226,2.749,1.554,1.554,28.72533503,28.72533503,15.05846505,17.33690015,17.33690015,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.14,0,0,0,5,0.2,1.558938913,1.512204395,114.0175425,275,1.219666347,3,0.41154959,0.5656,0.862568133,0.8484,1.269367507,178
D,AL,2,0,0,0,0,0,0,0,4,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,2,0,0,1,1.041,1.041,0.82,4.705,3.026,3.026,2.733,1.72,1.72,17.89968487,17.89968487,17.89058858,16.80979795,16.80979795,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,3,0.333333333,1.414340661,1.403548188,84.87048957,205,1.155876931,2,0.278398171,0.4488,0.924818705,0.8976,1.211313737,0
D,AL,3,0,5,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,1,3,0,1,0,0,2,0,0,0,0,1,0,4,0,2,2,0,0,0,0,2,1,1,0,4,1,0,0,3,1.204,1.204,0.826,4.687,3.165,3.165,2.757,1.655,1.655,39.30655565,39.30655565,8.474489325,35.09502833,35.09502833,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,3,0.333333333,1.374121581,1.395314533,51.11751168,209,1.160073143,2,0.300247796,0.4982,0.997401589,0.9964,1.340340155,0
D,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,6,1,0,3,4,0,0,0,1.462,1.462,0.799,4.681,3.449,3.449,2.749,1.324,1.324,14.08081919,14.08081919,15.05846505,14.73062553,14.73062553,0.11,0,0.11,0,0,0.35,0,0,0,0,0,0,0,0.24,0,0.18,0,0.01,0,0,7,0.142857143,1.370111198,1.487426708,84.55373045,366,1.281740543,6,0.673270045,0.7632,0.865217455,0.91584,1.359398391,23.8
D,AL,5,0,3,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,7,0,2,4,0,2,0,3,0,1,1,0,8,4,0,0,0,1.38,1.38,0.69,4.681,3.366,3.366,2.603,1.265,1.265,4.451704996,4.451704996,0,2.96780333,2.96780333,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0.27,0,0,3,0.333333333,1.44887641,1.407789471,46.50806382,235,1.185533931,3,0.447338004,0.6186,0.937577187,0.9279,1.433320698,0
D,AL,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,3,0,0,1,0,6,2,0,0,0,1.415,1.176,0.672,4.676,3.413,3.176,2.603,1.215,1.511,7.154152952,46.29481479,0,8.213708208,36.28648252,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0.66,0,0,3,0.333333333,1.252167606,1.38333455,87.42997198,164,1.107421924,3,0.367850305,0.4968,0.770978658,0.7452,1.232349958,20
D,AL,7,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,5,0,3,0,2,0,0,0,0,8,3,0,0,0,1.477,1.255,0.708,4.659,3.46,3.21,2.603,1.193,1.462,22.72766242,35.13641845,0,21.46604434,37.60849762,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.66,0,0,3,0.333333333,1.666009846,1.450680474,85.71464286,291,1.231946494,3,0.376622315,0.5034,0.789363943,0.7551,1.739717677,5.1
D,AL,8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,7,0,3,0,0,0,0,0,0,8,3,1,0,0,1.415,1.415,0.69,4.647,3.405,3.405,2.603,1.223,1.223,11.76719778,11.76719778,0,14.72487549,14.72487549,0.27,0.05,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.43,0,0,6,0.166666667,1.41389451,1.461971574,79.11510602,362,1.279354285,4,0.526706845,0.6772,0.874841134,0.902933333,1.385552297,43.45
D,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,2,0,1,0,0,6,2,0,0,0,1.653,1.255,0.699,4.629,3.647,3.251,2.603,1.021,1.407,25.17422988,33.26804193,0,28.61316918,26.6784647,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0.4,0,0,4,0.25,1.391735989,1.41316088,52.45950819,277,1.221239885,4,0.55661216,0.6984,0.924512787,0.9312,1.373710501,31.2
D,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,1,0,6,0,2,0,0,5,5,0,0,0,1.279,1.23,0.681,4.604,3.297,3.21,2.603,1.365,1.418,36.40414255,14.78048148,0,29.78882106,15.05846505,0,0.13,0,0,0,0.28,0,0,0,0,0,0,0,0.42,0,0,0,0.17,0,0,6,0.166666667,1.346042315,1.449384225,91.52048951,341,1.266377189,4,0.559042097,0.6994,0.928548824,0.932533333,1.378060919,7.75
