ags1,ags2,ags3,ags4,ags5,ags6,ags7,ags8,ags9,ags10,ags11,ags12,ats1,ats2,ats3,ats4,ats5,ats6,ats7,ats8,ats9,ats10,ats11,ats12,ats13,ats14,ats15,ats16,ats17,ats18,ats19,ats20,ats21,ats22,ats23,ats24,ats25,ats26,ats27,ats28,ats29,ats30,ats31,ats32,ats33,ats34,ats35,ats36,ats37,ats38,ats39,ats40,ats41,ats42,ats43,ats44,ats45,ats46,ats47,ats48,ats49,ats50,ats51,ats52,ats53,ats54,ats55,ats56,ats57,ats58,ats59,ats60,ats61,ats62,ats63,ats64,ats65,ats66,ats67,ats68,ats69,ats70,ats71,ats72,ats73,ats74,ats75,ats76,ats77,mps1,mps2,mps3,mps4,mps5,mps6,mps7,mps8,mps9,mps10,mps11,mps12,mps13,mps14,mps15,mps16,mps17,mps18,mps19,mps20,mps21,mps22,mps23,mps24,mps25,mps26,mps27,mps28,mps29,mps30,mps31,mps32,mps33,mps34,mps35,mps36,mps37,mps38,mps39,mps40,mps41,mps42,mps43,mps44,mps45,asiq1,asiq2,asiq3,asiq4,asiq5,asiq6,asiq7,asiq8,asiq9,asiq10,asiq11,asiq12,asiq13,asiq14,asiq15,asiq16,asiq17,asiq18,asiq19,asiq20,asiq21,asiq22,asiq23,asiq24,asiq25,gender,ags_map,ags_mav,ags_pap,ags_pav,asiq_score,ats_fear,ats_frus,ats_sad,ats_disc,ats_actc,ats_attc,ats_inhc,ats_soci,ats_hip,ats_posa,ats_nps,ats_aps,ats_asso,ats_nega,ats_effc,ats_ext,ats_ori,mps_self,mps_oth,mps_spr,ags_mastery
6,6,6,7,7,5,7,6,6,7,6,6,3,7,6,6,5,6,5,6,5,5,1,5,5,6,4,3,2,5,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,5,5,5,2,3,6,2,6,5,3,5,3,3,5,3,5,5,6,6,6,3,2,5,4,5,6,5,7,3,4,5,5,5,5,5,5,6,5,3,4,5,5,6,5,5,6,5,5,5,6,5,5,6,4,5,5,6,5,5,5,3,5,5,5,5,5,5,5,1,7,3,4,5,5,4,6,5,5,5,1,1,1,0,1,1,2,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,2,0,1,2,20,17,18,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,78,75,67,37
5,5,6,6,7,6,5,6,6,7,5,5,3,5,6,3,4,6,4,2,3,5,3,5,5,7,6,6,5,5,4,6,6,1,5,5,2,2,6,4,3,4,6,3,2,6,6,2,4,5,5,3,6,3,6,5,4,6,6,3,5,5,1,7,5,2,7,3,2,5,3,4,2,2,6,3,5,5,6,3,5,5,6,3,3,4,4,5,6,2,5,3,2,2,4,2,7,5,6,4,5,2,6,3,5,7,3,6,3,1,4,6,6,4,3,2,3,2,3,2,5,1,6,2,6,6,4,2,6,2,4,6,2,4,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,2,17,16,17,19,11,2.714286,5,4.142857,2.666667,5,4.2,4.428571,5.4,4.285714,5.2,5.2,4.4,4.4,3.615385,4.578947,4.882353,4.666667,73,60,41,33
5,6,2,3,7,6,7,2,4,2,2,7,5,3,6,2,7,6,6,3,5,6,4,6,7,2,6,2,2,7,1,7,5,1,7,6,6,6,6,2,7,1,1,7,5,7,7,6,3,1,7,7,7,2,6,1,6,1,5,3,3,6,1,6,6,7,5,6,4,2,1,7,1,6,6,1,6,6,2,7,5,2,6,6,1,7,2,6,1,2,5,4,4,6,2,2,3,1,3,7,4,6,2,2,4,4,2,4,1,1,1,2,4,5,1,1,1,1,2,6,6,2,1,2,7,7,1,3,7,6,6,5,2,5,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,19,19,8,7,6,3.285714,2.5,6.142857,4.166667,4.857143,6.8,5.857143,1.8,2.571429,3,5.6,5.8,6.6,4.076923,5.736842,2.470588,6,50,45,58,38
5,4,7,7,6,5,4,7,7,7,7,4,6,7,7,6,6,2,3,6,7,6,7,2,7,6,6,4,4,4,2,6,3,2,1,6,7,2,6,7,6,3,2,4,3,7,6,7,5,2,5,3,5,3,6,5,4,4,7,3,7,4,6,7,1,6,7,4,5,3,7,2,5,4,7,2,6,5,4,5,7,7,5,3,5,3,6,6,1,5,7,7,5,2,1,4,3,5,6,6,2,7,6,3,7,7,7,7,3,1,7,5,7,5,6,5,3,1,1,7,6,5,1,5,7,7,3,3,7,3,6,6,1,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,15,13,21,21,7,4.571429,2.666667,5.857143,5.5,6,5,4.428571,4.2,2.857143,6.4,4.8,5.6,4.6,4.692308,5.157895,4.294118,5,65,83,65,28
5,4,5,5,6,5,5,4,5,5,3,3,2,2,6,7,7,1,5,5,2,6,3,2,2,3,7,7,5,3,6,6,2,1,5,3,3,2,2,5,2,1,7,2,7,6,7,6,6,6,3,3,6,5,1,7,3,2,3,5,6,2,1,2,1,5,1,2,2,5,1,1,2,7,1,3,2,5,7,3,7,7,5,3,6,3,2,3,5,5,2,1,1,5,1,6,6,1,1,7,3,2,7,4,7,5,6,7,4,1,7,5,6,1,6,6,3,7,1,2,6,1,2,6,7,7,1,3,6,3,7,6,1,7,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,0,2,16,12,13,14,9,1.857143,4.833333,3.428571,4.333333,3.285714,4.2,1.714286,4.8,4.571429,6.2,4.4,3.8,4.4,3.538462,2.947368,5.117647,4.2,71,71,47,28
7,7,7,7,7,7,7,7,7,7,7,7,3,7,5,6,6,1,4,7,1,6,3,5,5,7,4,3,6,1,7,4,2,1,3,7,1,3,4,2,1,2,4,7,2,6,3,7,3,6,2,1,2,6,1,2,2,4,6,5,6,2,1,4,4,5,7,2,1,5,2,3,1,1,3,2,6,1,7,6,1,5,2,2,7,2,7,7,1,7,1,4,3,2,7,3,7,1,4,7,7,5,6,7,4,7,7,4,6,2,2,7,4,5,3,6,4,2,1,1,4,1,5,7,6,4,3,2,6,2,7,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,21,21,21,21,1,3.428571,4.5,3.142857,5.5,5.285714,2.6,3.428571,5.6,3,4.2,3.2,1.8,2.8,4.076923,3.894737,4.117647,2.6,93,49,49,42
6,6,7,7,7,7,7,7,7,7,7,6,6,7,5,4,5,5,6,6,5,5,6,5,5,6,6,6,5,5,7,7,5,1,3,6,1,3,6,6,6,2,3,4,4,5,5,6,5,3,5,4,2,2,2,7,2,6,5,2,5,5,1,5,3,3,6,1,5,5,4,3,6,4,3,5,5,6,6,6,5,5,6,3,7,6,6,5,6,5,5,2,2,2,6,4,7,1,3,7,6,6,6,6,6,7,6,5,6,1,3,7,5,7,5,5,6,3,1,1,5,3,1,3,7,1,3,3,7,1,6,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,20,19,21,21,3,4.428571,3.833333,3.714286,3.833333,5.571429,5,3.571429,6,5.142857,5.4,5,5.2,4.6,3.961538,4.684211,5.470588,4.933333,88,61,44,39
7,6,5,7,7,6,7,6,7,7,6,7,6,7,6,5,3,3,1,4,2,6,7,1,6,1,7,1,3,6,1,2,5,5,6,6,6,6,7,3,4,1,2,5,6,7,3,7,4,3,6,2,6,6,2,3,7,1,6,6,5,3,6,5,1,6,6,6,6,6,5,1,7,7,3,1,7,6,2,7,5,3,5,6,2,5,6,2,1,6,4,7,3,7,6,2,7,5,4,7,6,3,7,6,5,7,6,6,6,3,2,6,3,7,2,3,7,1,3,3,7,6,4,1,7,7,1,1,7,4,7,5,3,7,5,4,3,1,5,0,3,5,1,2,2,2,1,1,2,5,5,6,1,1,1,4,1,5,1,2,21,19,18,20,67,5.428571,3.833333,5.285714,5.666667,6.142857,3,3.142857,1.8,2.142857,3.6,5.4,5.8,6,5.076923,4.210526,2.470588,5.733333,96,55,66,40
6,6,5,7,6,6,6,6,6,6,5,6,6,3,7,7,6,2,5,4,6,2,5,1,7,5,5,5,5,6,3,5,7,7,5,6,5,3,5,7,2,5,6,7,6,7,5,7,7,3,6,1,7,2,6,7,6,3,3,5,7,2,6,7,3,5,3,5,6,6,5,2,6,6,3,5,6,3,5,6,6,6,6,2,7,6,2,5,7,5,4,2,1,7,6,4,5,2,2,7,6,6,6,6,6,7,7,6,6,1,5,6,6,6,5,5,5,5,1,5,5,7,5,5,6,7,1,5,6,6,6,6,2,6,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,2,18,18,16,19,19,4.857143,4.5,5.714286,5.5,3.571429,3.2,3.857143,4.6,5.857143,6.4,5.6,5.6,6.2,5.153846,3.578947,5.647059,5.8,86,64,74,36
6,4,5,7,7,4,6,6,6,6,4,4,7,2,7,3,6,3,6,6,6,5,2,NA,6,6,5,4,2,5,5,7,2,2,5,5,6,2,4,6,4,3,3,4,5,6,3,5,6,2,6,1,6,2,6,6,6,2,5,3,6,2,6,3,3,3,4,2,5,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,12,15,19,NA,NA,2.666667,NA,3.166667,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
