Site,Tsuga.canadensis
1001,0.1
1002,34
1003,42
1004,21
1005,37
1006,18
1011,9
1102,0
1108,0
1110,0
1112,43
1201,8
1203,0
1206,4
1305,45
1306,25
1307,0
1403,0
1407,0
1503,50
1508,14
1614,83
1616,2
1706,0.1
1709,39
1805,49
1811,85
1905,52
1907,79
2006,12
2014,47
2102,60
2103,48
2206,83
2208,0
2214,6
2305,26
2306,33
2401,12
2403,0.1
2412,6
2503,42
2514,9
2607,10
2610,7
2702,60
2703,44
2801,14
2810,82
2811,12
2905,14
2906,6
3004,0
3007,11
3101,6
3116,29
3204,9
3205,11
3305,4
3311,31
3403,25
3408,4
3504,23
3511,5
3601,0.1
3602,31
3603,18
3701,0
3705,5
3707,3
3802,61
3804,0
3902,10
3905,6
3909,67
4005,13
4007,43
4102,3
4109,15
4203,14
4204,0.1
4302,24
4306,71
4312,0.1
4403,0.1
4410,0
4504,0
4511,34
4606,0.1
4607,24
4703,8
4707,0.1
4802,0
4811,0
4816,0.1
4901,0
4903,0
4915,0
