Ntows,s,iter
1,NA,150.0
2,NA,150.0
3,0.0,150.0
4,0.0,150.0
5,0.0,150.0
6,0.0,150.0
7,0.0,150.0
8,0.0,150.0
9,0.0,150.0
10,0.0,150.0
11,0.0,150.0
12,0.0,150.0
13,0.0,150.0
14,0.0,150.0
15,0.0,150.0
16,0.0,150.0
17,0.0,150.0
18,0.0,150.0
19,0.0,150.0
20,0.0,150.0
21,0.0,150.0
22,0.0,150.0
23,0.0,150.0
24,0.0,150.0
25,0.0,150.0
26,0.0,150.0
27,0.0,150.0
28,0.0,150.0
29,0.0,150.0
30,0.0,150.0
31,0.0,150.0
32,0.0,150.0
33,0.0,150.0
34,0.0,150.0
35,0.0,150.0
36,0.0,150.0
37,0.0,150.0
38,0.0,150.0
39,0.0,150.0
40,0.0,150.0
41,0.0,150.0
42,0.0,150.0
43,0.0,150.0
44,0.0,150.0
45,0.0,150.0
46,0.0,150.0
47,0.0,150.0
48,13.0,150.0
49,7.0,150.0
50,7.0,150.0
51,7.0,150.0
52,8.0,150.0
53,15.0,150.0
54,10.0,150.0
55,7.0,150.0
56,13.0,150.0
57,8.0,150.0
58,6.0,150.0
59,13.0,150.0
60,6.0,150.0
61,10.0,150.0
62,6.0,150.0
63,5.0,150.0
64,2.0,150.0
65,9.0,150.0
66,6.0,150.0
67,7.0,150.0
68,6.0,150.0
69,8.0,150.0
70,5.0,150.0
71,6.0,150.0
72,13.0,150.0
73,5.0,150.0
74,3.0,150.0
75,3.0,150.0
76,5.0,150.0
77,7.0,150.0
78,5.0,150.0
79,9.0,150.0
80,8.0,150.0
81,7.0,150.0
82,7.0,150.0
83,2.0,150.0
84,10.0,150.0
85,10.0,150.0
86,7.0,150.0
87,8.0,150.0
88,2.0,150.0
89,10.0,150.0
90,3.0,150.0
91,3.0,150.0
92,3.0,150.0
93,6.0,150.0
94,4.0,150.0
95,4.0,150.0
96,4.0,150.0
97,6.0,150.0
98,2.0,150.0
99,4.0,150.0
100,7.0,150.0
101,6.0,150.0
102,2.0,150.0
103,5.0,150.0
104,1.0,150.0
105,6.0,150.0
106,1.0,150.0
107,5.0,150.0
108,3.0,150.0
109,4.0,150.0
110,6.0,150.0
111,4.0,150.0
112,4.0,150.0
113,1.0,150.0
114,3.0,150.0
115,2.0,150.0
116,5.0,150.0
117,2.0,150.0
118,4.0,150.0
119,4.0,150.0
120,2.0,150.0
121,5.0,150.0
122,3.0,150.0
123,1.0,150.0
124,1.0,150.0
125,2.0,150.0
126,5.0,150.0
127,5.0,150.0
128,0.0,150.0
129,3.0,150.0
130,1.0,150.0
131,5.0,150.0
132,3.0,150.0
133,3.0,150.0
134,5.0,150.0
135,1.0,150.0
136,2.0,150.0
137,4.0,150.0
138,4.0,150.0
139,5.0,150.0
140,3.0,150.0
141,1.0,150.0
142,3.0,150.0
143,2.0,150.0
144,2.0,150.0
145,3.0,150.0
146,0.0,150.0
147,2.0,150.0
148,2.0,150.0
149,2.0,150.0
150,4.0,150.0
151,1.0,150.0
152,0.0,150.0
153,1.0,150.0
154,1.0,150.0
155,2.0,150.0
156,4.0,150.0
157,3.0,150.0
158,4.0,150.0
159,3.0,150.0
160,6.0,150.0
161,4.0,150.0
162,3.0,150.0
163,2.0,150.0
164,2.0,150.0
165,0.0,150.0
166,3.0,150.0
167,1.0,150.0
168,3.0,150.0
169,2.0,150.0
170,1.0,150.0
171,2.0,150.0
172,2.0,150.0
173,5.0,150.0
174,2.0,150.0
175,2.0,150.0
176,0.0,150.0
177,1.0,150.0
178,3.0,150.0
179,3.0,150.0
180,2.0,150.0
181,3.0,150.0
182,2.0,150.0
183,3.0,150.0
184,3.0,150.0
185,4.0,150.0
186,2.0,150.0
187,4.0,150.0
188,2.0,150.0
189,0.0,150.0
190,2.0,150.0
191,1.0,150.0
192,2.0,150.0
193,3.0,150.0
194,2.0,150.0
195,1.0,150.0
196,2.0,150.0
197,1.0,150.0
198,0.0,150.0
199,2.0,150.0
200,1.0,150.0
201,1.0,150.0
202,2.0,150.0
203,0.0,150.0
204,1.0,150.0
205,1.0,150.0
206,0.0,150.0
207,2.0,150.0
208,0.0,150.0
209,2.0,150.0
210,1.0,150.0
211,0.0,150.0
212,0.0,150.0
213,1.0,150.0
214,5.0,150.0
215,2.0,150.0
216,0.0,150.0
217,1.0,150.0
218,5.0,150.0
219,1.0,150.0
220,4.0,150.0
221,0.0,150.0
222,1.0,150.0
223,0.0,150.0
224,3.0,150.0
225,1.0,150.0
226,2.0,150.0
227,1.0,150.0
228,1.0,150.0
229,1.0,150.0
230,2.0,150.0
231,0.0,150.0
232,1.0,150.0
233,0.0,150.0
234,1.0,150.0
235,0.0,150.0
236,1.0,150.0
237,0.0,150.0
238,4.0,150.0
239,2.0,150.0
240,0.0,150.0
241,0.0,150.0
242,2.0,150.0
243,0.0,150.0
244,1.0,150.0
245,2.0,150.0
246,2.0,150.0
247,2.0,150.0
248,2.0,150.0
249,3.0,150.0
250,0.0,150.0
251,0.0,150.0
252,0.0,150.0
253,0.0,150.0
254,1.0,150.0
255,1.0,150.0
256,1.0,150.0
257,1.0,150.0
258,0.0,150.0
259,5.0,150.0
260,2.0,150.0
261,2.0,150.0
262,1.0,150.0
263,1.0,150.0
264,0.0,150.0
265,2.0,150.0
266,3.0,150.0
267,0.0,150.0
268,1.0,150.0
269,1.0,150.0
270,2.0,150.0
271,0.0,150.0
272,0.0,150.0
273,2.0,150.0
274,3.0,150.0
275,2.0,150.0
276,0.0,150.0
277,0.0,150.0
278,1.0,150.0
279,0.0,150.0
280,1.0,150.0
281,0.0,150.0
282,2.0,150.0
283,0.0,150.0
284,1.0,150.0
285,1.0,150.0
286,0.0,150.0
287,0.0,150.0
288,0.0,150.0
289,0.0,150.0
290,0.0,150.0
291,1.0,150.0
292,0.0,150.0
293,0.0,150.0
294,0.0,150.0
295,0.0,150.0
296,1.0,150.0
297,0.0,150.0
298,0.0,150.0
299,1.0,150.0
300,2.0,150.0
301,0.0,150.0
302,0.0,150.0
303,0.0,150.0
304,3.0,150.0
305,0.0,150.0
306,2.0,150.0
307,0.0,150.0
308,1.0,150.0
309,1.0,150.0
310,1.0,150.0
311,0.0,150.0
312,0.0,150.0
313,0.0,150.0
314,1.0,150.0
315,0.0,150.0
316,0.0,150.0
317,0.0,150.0
318,0.0,150.0
319,1.0,150.0
320,0.0,150.0
321,1.0,150.0
322,1.0,150.0
323,2.0,150.0
324,0.0,150.0
325,0.0,150.0
326,0.0,150.0
327,1.0,150.0
328,0.0,150.0
329,1.0,150.0
330,0.0,150.0
331,1.0,150.0
332,0.0,150.0
333,0.0,150.0
334,0.0,150.0
335,2.0,150.0
336,1.0,150.0
337,1.0,150.0
338,0.0,150.0
339,2.0,150.0
340,0.0,150.0
341,1.0,150.0
342,0.0,150.0
343,0.0,150.0
344,1.0,150.0
345,1.0,150.0
346,0.0,150.0
347,0.0,150.0
348,1.0,150.0
349,1.0,150.0
350,1.0,150.0
351,1.0,150.0
352,0.0,150.0
353,1.0,150.0
354,1.0,150.0
355,3.0,150.0
356,1.0,150.0
357,1.0,150.0
358,1.0,150.0
359,0.0,150.0
360,0.0,150.0
361,2.0,150.0
362,0.0,150.0
363,0.0,150.0
364,1.0,150.0
365,1.0,150.0
366,0.0,150.0
367,0.0,150.0
368,3.0,150.0
369,0.0,150.0
370,0.0,150.0
371,0.0,150.0
372,0.0,150.0
373,0.0,150.0
374,2.0,150.0
375,3.0,150.0
376,1.0,150.0
377,1.0,150.0
378,0.0,150.0
379,0.0,150.0
380,1.0,150.0
381,0.0,150.0
382,0.0,150.0
383,1.0,150.0
384,1.0,150.0
385,0.0,150.0
386,2.0,150.0
387,0.0,150.0
388,1.0,150.0
389,1.0,150.0
390,0.0,150.0
391,0.0,150.0
392,2.0,150.0
393,0.0,150.0
394,1.0,150.0
395,2.0,150.0
396,2.0,150.0
397,1.0,150.0
398,0.0,150.0
399,1.0,150.0
400,3.0,150.0
401,0.0,150.0
402,1.0,150.0
403,1.0,150.0
404,2.0,150.0
405,0.0,150.0
406,0.0,150.0
407,1.0,150.0
408,1.0,150.0
409,0.0,150.0
410,0.0,150.0
411,0.0,150.0
412,1.0,150.0
413,0.0,150.0
414,1.0,150.0
415,0.0,150.0
416,0.0,150.0
417,1.0,150.0
418,1.0,150.0
419,1.0,150.0
420,0.0,150.0
421,1.0,150.0
422,1.0,150.0
423,1.0,150.0
424,0.0,150.0
425,1.0,150.0
426,1.0,150.0
427,2.0,150.0
428,0.0,150.0
429,2.0,150.0
430,0.0,150.0
431,2.0,150.0
432,1.0,150.0
433,2.0,150.0
434,0.0,150.0
435,0.0,150.0
436,0.0,150.0
437,0.0,150.0
438,0.0,150.0
439,0.0,150.0
440,2.0,150.0
441,0.0,150.0
442,0.0,150.0
443,0.0,150.0
444,1.0,150.0
445,1.0,150.0
446,1.0,150.0
447,1.0,150.0
448,1.0,150.0
449,0.0,150.0
450,1.0,150.0
451,1.0,150.0
452,0.0,150.0
453,0.0,150.0
454,0.0,150.0
455,1.0,150.0
456,0.0,150.0
457,0.0,150.0
458,0.0,150.0
459,1.0,150.0
