Species,stage,sex,antseg1,antseg2,antseg3,antseg4,midfem,midtib,hindfem,hindtib
canali,1,u,0.17,0.15,0.19,0.72,0.7,0.8,0.43,0.72
canali,1,u,0.2,0.14,0.18,0.74,0.76,0.92,0.68,0.42
canali,1,u,0.18,0.14,0.17,0.62,0.76,0.94,0.79,0.4
canali,1,u,0.16,0.13,0.14,0.55,0.7,0.92,0.74,0.42
canali,1,u,0.13,0.13,0.16,0.56,0.72,0.92,0.68,0.38
canali,1,u,0.18,0.16,0.18,0.52,0.76,0.97,0.68,0.45
canali,1,u,0.18,0.12,0.16,0.72,0.74,0.91,0.7,0.42
canali,1,u,0.18,0.15,0.16,0.6,0.76,0.92,0.7,0.43
canali,1,u,0.2,0.15,0.19,0.67,0.78,0.95,0.78,0.44
canali,1,u,0.16,0.14,0.18,0.6,0.8,0.98,0.73,0.44
canali,2,u,0.32,0.24,0.28,0.8,1.08,1.36,1.16,0.58
canali,2,u,0.28,0.24,0.29,0.74,1.16,1.36,1.25,0.56
canali,2,u,0.3,0.2,0.22,0.7,1.22,1.26,1.15,0.54
canali,2,u,0.24,0.22,0.27,0.7,1.12,1.22,1.18,0.58
canali,2,u,0.26,0.22,0.26,0.72,1.16,1.3,1.15,0.56
canali,2,u,0.23,0.2,0.24,0.74,1,1.26,1.06,0.5
canali,2,u,0.26,0.2,0.26,0.75,1.04,1.28,1.1,0.56
canali,2,u,0.26,0.22,0.28,0.74,1.2,1.28,1.18,0.56
canali,2,u,0.24,0.21,0.25,0.72,1.16,1.26,1.1,0.54
canali,2,u,0.28,0.22,0.26,0.74,1.12,1.14,1.26,0.58
canali,3,u,0.4,0.26,0.32,0.78,2,1.92,2.04,0.89
canali,3,u,0.38,0.28,0.38,0.78,1.92,1.9,1.94,0.84
canali,3,u,0.38,0.28,0.36,0.8,1.76,1.76,1.94,0.85
canali,3,u,0.46,0.36,0.38,0.98,1.92,1.8,2,0.8
canali,3,u,0.42,0.32,0.25,0.9,1.8,1.7,1.94,0.86
canali,3,u,0.44,0.36,0.4,0.9,2,1.9,2.02,0.9
canali,3,u,0.46,0.38,0.4,0.94,2.02,1.94,2.08,0.84
canali,3,u,0.46,0.32,0.32,0.88,1.96,1.88,1.96,0.85
canali,3,u,0.46,0.32,0.38,0.82,2.08,1.96,2,0.86
canali,3,u,0.5,0.32,0.4,0.9,2.06,1.86,1.96,0.84
canali,4,f,0.7,0.54,0.55,1.21,3.16,2.9,3.36,1.42
canali,4,f,0.73,0.55,0.58,1.28,3.12,2.96,3.24,1.46
canali,4,f,0.7,0.56,0.57,1.23,3.12,2.78,3.2,1.28
canali,4,f,0.76,0.59,0.6,1.24,3.14,2.88,3.26,1.32
canali,4,f,0.7,0.48,0.49,1.24,3,2.74,3.16,1.3
canali,4,f,0.68,0.52,0.54,1.21,3.08,2.84,3.16,1.36
canali,4,f,0.72,0.6,0.6,1.23,3.28,2.98,3.32,1.5
canali,4,f,0.76,0.57,0.58,1.26,3.12,2.92,3.28,1.48
canali,4,f,0.74,0.56,0.58,1.22,3.02,2.76,3.24,1.34
canali,4,f,0.71,0.58,0.6,1.3,3.24,2.84,3.24,1.42
canali,4,m,0.68,0.54,0.56,1.12,2.96,2.56,3,1.2
canali,4,m,0.7,0.5,0.5,1.1,2.84,2.56,3.04,1.24
canali,4,m,0.73,0.52,0.57,1.25,2.88,2.7,3.04,1.32
canali,4,m,0.7,0.56,0.58,1.24,3,2.76,3.24,1.34
canali,4,m,0.7,0.52,0.54,1.25,3.12,2.86,3.16,1.44
canali,4,m,0.68,0.57,0.6,1.14,3,2.7,3.14,1.28
canali,4,m,0.7,0.55,0.56,1.16,3.08,2.72,3.12,1.4
canali,4,m,0.68,0.48,0.5,1.2,2.96,2.58,3.06,1.2
canali,4,m,0.7,0.54,0.54,1.22,3.04,2.76,3.12,1.36
canali,4,m,0.74,0.58,0.58,1.22,3.08,2.72,3.16,1.4
canali,5,f,1.12,0.86,0.8,1.44,4.02,3.58,4.31,1.93
canali,5,f,1.06,0.81,0.78,1.58,3.72,3.43,3.94,1.61
canali,5,f,1.08,0.82,0.74,1.52,4.23,3.65,4.29,1.97
canali,5,f,1.02,0.84,0.76,1.53,3.94,3.5,4.16,1.86
canali,5,f,1.14,0.9,0.89,1.67,4.42,3.87,4.85,2.19
canali,5,f,1.16,0.92,0.84,1.64,4.38,3.8,4.64,2.08
canali,5,f,1.1,0.83,0.76,1.54,3.8,3.47,4.16,1.79
canali,5,f,1.12,0.8,0.8,1.6,4.23,3.65,4.38,1.9
canali,5,f,1.04,0.81,0.8,1.5,4.16,3.43,4.31,1.97
canali,5,f,1.1,0.8,0.8,1.62,3.8,3.5,4.01,1.75
canali,5,m,1.08,0.8,0.78,1.52,3.83,3.32,4.16,1.82
canali,5,m,1.14,0.84,0.84,1.54,4.16,3.58,4.18,1.83
canali,5,m,1.1,0.8,0.81,1.49,3.87,3.29,4.01,1.75
canali,5,m,1.05,0.78,0.78,1.52,3.72,3.5,4.12,1.79
canali,5,m,1.1,0.82,0.76,1.49,3.87,3.29,3.94,1.68
canali,5,m,1.11,0.78,0.79,1.46,3.87,3.29,4.02,1.69
canali,5,m,1.06,0.76,0.77,1.42,3.72,3.21,4.01,1.68
canali,5,m,1.1,0.8,0.79,1.47,4.09,3.43,4.23,1.83
canali,5,m,1.16,0.92,0.84,1.62,4.23,3.76,4.38,2.01
canali,5,m,1.18,0.92,0.86,1.56,4.02,3.5,4.16,1.9
canali,6,f,1.76,1.16,1.18,2.04,6.42,6.06,7.15,3.36
canali,6,f,1.78,1.18,1.2,1.84,5.48,4.82,5.73,2.99
canali,6,f,1.72,1.08,0.96,1.64,5.47,4.67,5.84,2.48
canali,6,f,1.6,1.12,0.92,1.6,5.62,4.82,5.99,2.77
canali,6,f,1.88,1.28,1.2,2,5.91,5.33,6.72,3.29
canali,6,f,1.8,1.2,1.08,1.76,5.91,5.33,6.39,3.14
canali,6,f,1.96,1.48,1.24,2,5.69,4.82,5.99,2.92
canali,6,f,1.92,1.48,1.32,1.84,5.99,5.26,6.35,2.92
canali,6,f,1.6,1.12,0.96,1.8,5.55,4.85,6.1,2.74
canali,6,f,1.84,1.4,1.28,2.08,6.21,5.48,6.94,3.5
canali,6,m,1.6,1.04,0.92,1.66,5.29,4.6,5.91,2.45
canali,6,m,1.61,1,0.88,1.68,5.55,4.96,5.99,2.77
canali,6,m,1.59,1.04,0.96,1.6,5,4.31,5.48,2.34
