Egg_compl,Clutch_1,Clutch_2,Clutch_3,Clutch_4
4.00,0.00,2.00,0.00,0.00
5.00,0.00,5.00,1.00,0.00
6.00,1.00,11.00,3.00,0.00
7.00,1.00,5.00,1.00,0.00
8.00,0.00,2.00,1.00,0.00
9.00,0.00,0.00,1.00,1.00
10.00,0.00,4.00,3.00,0.00
11.00,0.00,3.00,4.00,0.00
12.00,0.00,1.00,6.00,0.00
13.00,1.00,2.00,4.00,0.00
14.00,0.00,0.00,3.00,1.00
15.00,0.00,3.00,4.00,0.00
16.00,0.00,2.00,6.00,0.00
17.00,0.00,2.00,4.00,0.00
18.00,0.00,0.00,2.00,0.00
19.00,0.00,0.00,6.00,0.00
20.00,0.00,0.00,2.00,0.00
21.00,0.00,1.00,1.00,0.00
22.00,0.00,0.00,0.00,0.00
23.00,0.00,0.00,1.00,0.00
